prolific_id,viss.aims.1,viss.aims.2,viss.aims.3,viss.coi.1,viss.coi.2,viss.consensus.1,viss.consensus.2,viss.fallible.1,viss.fallible.2,viss.ir,viss.nonsubj.1,viss.nonsubj.2,viss.pluralism.1,viss.pluralism.3,viss.stdpt,viss.value.conflict,viss.vfi.1,viss.vfi.2,viss.wait.policy,coss.1,coss.2,coss.3,coss.4,coss.5,coss.6,gss_college,gss_congress,gss_k12,gss_companies,gss_medicine,gss_science,effect,scientism.reality,scientism.higher.pow,scientism.truth,scientism.knowledge,scientism.morality,scientism.evolution,scientism.questions,scientism.problems,scientism.malleabl,scientism.critique,scientism.benefits,scientism.value,osi.timer_firstclick,osi.timer_lastclick,osi.timer_pagesubmit,osi.timer_clickcount,osi.radioactive,osi.nitrogen,osi.copernicus.1,osi.copernicus.2,osi.valid,osi.prob1,osi.prob2,osi.die,osi.bucks,osi.lillypad,osi.lasers,osi.electrons,osi.antibiotics,age,gender_id,gender_lived,race_ethnicity,religious,occupation,politics,party,rwa.conservatism.1,rwa.conservatism.2,rwa.conservatism.3,rwa.conservatism.4,rwa.conservatism.5,rwa.conservatism.6,rwa.traditionalism.1,rwa.traditionalism.2,rwa.traditionalism.3,rwa.traditionalism.4,rwa.traditionalism.5,rwa.traditionalism.6,rwa.authoritarianism.1,rwa.authoritarianism.2,rwa.authoritarianism.3,rwa.authoritarianism.4,rwa.authoritarianism.5,rwa.authoritarianism.6,coss,scientism,rwa.conservatism,rwa.traditionalism,rwa.authoritarianism,rwa,occ_prestige,osi_score
e5efecdcea4d6529f8b57d8da3a88b7653d8eac5e30cc2bcf7f05baf,7,5,3,2,4,1,1,2,2,2,5,6,4,4,2,5,6,3,2,6,4,6,6,6,6,2,2,3,3,3,4,3,3,3,4,3,3,4,3,4,3,2,4,4,5.354,74.031,79.5,13,FALSE,Carbon Dioxide,Sun goes around the Earth,NA,The first way,No,Yes,500,10,12,TRUE,TRUE,FALSE,35,Woman/Female,Woman/Female,"White: A person having origins in any of the original peoples of Europe, North Africa, or the Middle East",2,Paralegal and/or Legal Assistant,4,Independent,6,4,4,4,4,5,6,3,6,2,3,3,4,5,5,6,4,5,5.666666666666667,3.3333333333333335,4.5,3.8333333333333335,4.833333333333333,4.388888888888889,57.49,5
0f740a7fffe65f9f8c9b66172008a1f7f12ef29488c1ddb85604ad14,5,4,5,5,5,3,4,6,5,6,5,3,3,3,3,3,5,2,4,4,2,2,2,4,4,4,3,2,4,4,4,2,4,3,4,5,2,4,4,5,3,3,1,4,4.268,43.064,45.736,21,FALSE,Nitrogen,Sun goes around the Earth,NA,The first way,No,Yes,230,300,24,TRUE,FALSE,TRUE,36,Woman/Female,Woman/Female,"Asian or Pacific Islander: A person having origins in any of the original peoples of the Far East, Southeast Asia, the Indian subcontinent or the Pacific Islands",2,Cashier,4,Democrat,3,3,3,4,2,5,4,3,1,5,2,4,3,4,3,6,5,3,3,3.5,3.3333333333333335,3.1666666666666665,4,3.5,25.77,4
9c33498e99717aa947469770be1cf1b541d63072b34c77e98da28a43,7,6,2,2,2,2,3,4,4,4,2,2,4,3,6,4,6,6,6,5,4,4,6,6,6,2,3,2,2,3,3,3,2,5,3,4,4,4,3,4,4,4,3,3,6.994,76.174,87.871,17,TRUE,Carbon Dioxide,Earth goes around the Sun,1 day,The first way,No,No,500,10,24,FALSE,FALSE,FALSE,31,Woman/Female,Woman/Female,"Asian or Pacific Islander: A person having origins in any of the original peoples of the Far East, Southeast Asia, the Indian subcontinent or the Pacific Islands",1,Nurse Practitioner,4,Independent,2,5,4,6,6,2,3,6,6,5,6,2,2,4,2,4,3,6,5.166666666666667,3.5833333333333335,4.166666666666667,4.666666666666667,3.5,4.111111111111112,68.15,4
7871ad99772d7aaf21fe01a6ecc12fc65e6da973cced74f3111b1912,5,6,3,5,3,3,3,2,3,3,5,6,3,3,5,1,2,3,5,3,3,3,7,3,5,4,1,2,4,4,3,2,4,3,4,3,5,3,4,4,4,3,4,3,2.438,156.232,158.802,12,FALSE,Nitrogen,Earth goes around the Sun,NA,The first way,No,Yes,500,10,7,TRUE,TRUE,FALSE,54,Man/Male,Man/Male,"White: A person having origins in any of the original peoples of Europe, North Africa, or the Middle East",5,Computer-Controlled Machine Tool Operator,7,Republican,3,1,2,1,1,7,7,2,6,2,1,4,1,3,7,2,7,1,4,3.6666666666666665,2.5,3.6666666666666665,3.5,3.2222222222222223,49.71,7
cd9809f9690b168ca56dafcfea21f9ec82df917ea636544598c3d054,6,5,2,1,7,1,1,2,1,2,3,5,NA,6,6,1,2,4,5,7,5,6,1,1,7,5,2,3,2,4,5,3,3,3,4,4,4,3,5,5,4,4,4,4,2.269,167.134,170.058,16,FALSE,Hydrogen,Earth goes around the Sun,1 year,The second way,No,Yes,500,10,47,FALSE,TRUE,FALSE,9,Woman/Female,Woman/Female,"White: A person having origins in any of the original peoples of Europe, North Africa, or the Middle East",2,Human Resources and/or Training,2,Democrat,4,4,3,4,7,2,4,6,7,2,5,1,7,4,5,4,5,4,4.5,3.9166666666666665,4,4.166666666666667,4.833333333333333,4.333333333333333,49,9
cb9cb6f8dad5ceab7a87d64f9ee3476845534ab2040cd2cc68b3d6ca,7,6,2,1,2,1,1,1,4,1,6,7,1,1,4,7,7,1,6,5,4,6,1,1,7,4,1,2,2,4,5,3,3,1,4,3,4,2,3,4,3,3,3,3,3.587,110.51,112.323,38,FALSE,Oxygen,Earth goes around the Sun,1 day,The second way,No,Yes,500,10,47,FALSE,TRUE,FALSE,25,Man/Male,Man/Male,"White: A person having origins in any of the original peoples of Europe, North Africa, or the Middle East",3,Financial Analyst,5,Republican,7,3,3,1,2,7,5,2,7,1,4,2,2,1,7,1,7,6,4,3,3.8333333333333335,3.5,4,3.7777777777777777,67.31,8
1362d4f468bc164cffc16af419711a393aa3de8095a93e4ed2d8f3fb,5,6,1,1,1,2,1,1,2,5,5,6,1,1,2,1,6,2,2,5,6,3,3,6,6,3,5,2,5,5,5,3,3,3,4,3,3,3,3,4,3,3,3,3,5.816,133.691,137.27,25,FALSE,Oxygen,Earth goes around the Sun,1 year,The second way,No,No,500,10,24,FALSE,TRUE,FALSE,34,Man/Male,Man/Male,"White: A person having origins in any of the original peoples of Europe, North Africa, or the Middle East",5,Management Analyst,7,Republican,4,2,3,1,1,3,4,4,3,7,1,7,6,6,6,3,3,3,4.833333333333333,3.1666666666666665,2.3333333333333335,4.333333333333333,4.5,3.7222222222222223,62.37,8
c12ee163a19b7ee54c24605baeeae3594e55ce582664525f7587c226,6,5,6,4,6,3,1,1,3,5,3,3,1,3,7,2,6,2,3,7,6,6,6,6,7,4,2,3,2,4,4,3,3,3,3,3,3,4,2,4,4,2,4,3,4.336,83.574,89.857,14,FALSE,Nitrogen,Earth goes around the Sun,1 year,The second way,No,Yes,500,10,47,FALSE,TRUE,FALSE,31,Man/Male,Man/Male,"White: A person having origins in any of the original peoples of Europe, North Africa, or the Middle East",2,Avionics Technician,3,Independent,3,6,2,6,5,1,3,6,5,2,5,3,3,4,4,4,4,5,6.333333333333333,3.1666666666666665,3.8333333333333335,4,4,3.9444444444444446,65.61,10
73108dbe5de950bb0144c7440edf12b61614bd3099c26da96ec1966f,6,6,4,5,5,4,2,2,4,5,5,4,3,4,3,4,6,3,5,6,4,4,3,6,5,1,1,1,2,2,3,3,3,2,3,3,3,3,3,4,3,3,3,4,1.799,126.355,128.263,22,FALSE,Hydrogen,Sun goes around the Earth,NA,The second way,No,No,500,100,24,TRUE,TRUE,FALSE,17,Man/Male,Man/Male,"White: A person having origins in any of the original peoples of Europe, North Africa, or the Middle East",2,Medical and Clinical Laboratory Technician and/or Technologist,6,Independent,4,5,4,4,4,3,5,3,2,5,3,6,4,4,6,3,6,5,4.666666666666667,3.0833333333333335,4,4,4.666666666666667,4.222222222222222,67.5,5
eb0f9d20af4d77236837cfb25854d77a7cc17cfa67e432c410f8b780,5,4,4,5,6,4,2,2,3,6,6,6,3,4,4,4,6,4,6,4,4,4,5,5,4,2,2,3,2,2,3,2,5,2,3,3,3,4,2,4,3,3,3,4,4.58,63.884,86.535,11,FALSE,Hydrogen,Earth goes around the Sun,1 year,The second way,No,Yes,500,10,24,FALSE,TRUE,FALSE,21,Woman/Female,Woman/Female,"White: A person having origins in any of the original peoples of Europe, North Africa, or the Middle East",1,Homemaker/Stay at home parent,6,Republican,4,4,4,4,4,4,2,3,4,2,3,2,6,2,6,2,6,3,4.333333333333333,3.25,4,2.6666666666666665,4.166666666666667,3.611111111111111,NA,9
